time,open,high,low,close
1733112000,96600,96600,96450,96450
1733119200,96450,96450,96300,96300
1733119200.001,96300,96300,96150,96150
1733122800,96150,96150,96000,96000
1733122800.001,96000,96000,95850,95850
1733122800.002,95850,95850,95700,95700
1733122800.003,95700,95700,95550,95550
1733122800.004,95550,95550,95400,95400
1733122800.005,95400,95400,95250,95250
1733130000,95250,95542.75,95100,95100
1733140800,95250,95400,95007.75,95400
1733140800.001,95400,95550,95400,95550
1733140800.002,95550,95700,95550,95700
1733144400,95700,95850,95700,95850
1733144400.001,95850,96000,95850,96000
1733144400.002,96000,96150,96000,96150
1733144400.003,96150,96300,96150,96300
1733148000,96300,96450,96300,96450
1733148000.001,96450,96600,96450,96600
1733148000.002,96600,96750,96600,96750
1733148000.003,96750,96900,96750,96900
1733148000.004,96900,97050,96900,97050
1733151600,96900,96900,96750,96750
1733151600.001,96750,96750,96600,96600
1733151600.002,96600,96600,96450,96450
1733151600.003,96450,96450,96300,96300
1733155200,96300,96300,96150,96150
1733155200.001,96150,96150,96000,96000
1733155200.002,96000,96000,95850,95850
1733155200.003,95850,95850,95700,95700
1733155200.004,95700,95700,95550,95550
1733155200.005,95550,95550,95400,95400
1733155200.006,95400,95400,95250,95250
1733155200.007,95250,95250,95100,95100
1733155200.008,95100,95100,94950,94950
1733155200.009,94950,94950,94800,94800
1733155200.01,94800,94800,94650,94650
1733158800,94800,94950,94800,94950
1733158800.001,94950,95100,94950,95100
1733158800.002,95100,95250,95100,95250
1733158800.003,95250,95400,95250,95400
1733158800.004,95400,95550,95400,95550
1733158800.005,95550,95700,95550,95700
1733176800,95700,95850,95406,95850
1733184000,95700,95700,95550,95550
1733187600,95700,95850,95700,95850
1733187600.001,95850,96000,95850,96000
1733198400,96000,96150,96000,96150
1733202000,96000,96000,95850,95850
1733202000.001,95850,95850,95700,95700
1733209200,95700,95700,95550,95550
1733212800,95550,95550,95400,95400
1733216400,95400,95400,95250,95250
1733216400.001,95250,95250,95100,95100
1733216400.002,95100,95100,94950,94950
1733216400.003,94950,94950,94800,94800
1733227200,94800,95024.25,94650,94650
1733227200.001,94650,94650,94500,94500
1733227200.002,94500,94500,94350,94350
