time,open,high,low,close,Long Entry,Short Entry,5m ADX(14),Volume
1725004800,1.108,1.108,1.1075000000000002,1.1075000000000002,0,0,37.330434138848915,10473
1725019200,1.1075,1.10828,1.107,1.107,0,0,37.16732464621731,21997
1725030000,1.107,1.107,1.1065,1.1065,0,0,37.36972014430445,13495
1725030000.001,1.1065,1.1065,1.106,1.106,0,0,37.882949922047096,13495
1725033600,1.106,1.106,1.1055000000000001,1.1055000000000001,0,0,38.65878234232643,2542.5
1725033600.001,1.1055,1.1055,1.105,1.105,0,0,39.654707132485605,2542.5
1725231600,1.105,1.105,1.1045,1.1045,0,0,40.83329983796074,16070
1725253200,1.105,1.1055,1.105,1.1055,0,0,41.09448570688904,12184
1725256800,1.1055,1.1059999999999999,1.1055,1.1059999999999999,1,0,40.56855275120903,1723
1725256800.001,1.106,1.1065,1.106,1.1065,0,0,39.37109059086936,1723
1725300000,1.1065,1.107,1.10598,1.107,0,0,37.604540328840095,38800
1725332400,1.1065,1.10728,1.106,1.106,0,0,35.61423221369617,13311
1725336000,1.106,1.106,1.1055000000000001,1.1055000000000001,0,0,34.25569836929833,2504
1725350400,1.1055,1.10616,1.105,1.105,0,0,33.44459707187544,19567
1725354000,1.105,1.105,1.1045,1.1045,0,0,33.10604575820036,6195
1725357600,1.1045,1.1045,1.104,1.104,0,0,33.173602251927704,5214
1725368400,1.1045,1.105,1.10363,1.105,0,0,32.52077588902622,6078
1725368400.001,1.105,1.1055,1.105,1.1055,1,0,31.254675943885037,6078
1725368400.002,1.1055,1.1059999999999999,1.1055,1.1059999999999999,0,0,29.470121465395422,6078
1725372000,1.1055,1.1055,1.105,1.105,0,0,28.308784313067843,6873.5
1725372000.001,1.105,1.105,1.1045,1.1045,0,0,27.688240077649628,6873.5
1725379200,1.1045,1.1045,1.104,1.104,0,0,27.53502060523701,11084
1725382800,1.104,1.104,1.1035000000000001,1.1035000000000001,0,0,27.78370183259286,1954.5
1725382800.001,1.1035,1.1035,1.103,1.103,0,0,28.376084303343447,1954.5
1725390000,1.1035,1.1039999999999999,1.1035,1.1039999999999999,0,1,28.214501014361375,7272
1725397200,1.104,1.1045,1.104,1.1045,0,0,27.406089030964214,2565
1725411600,1.1045,1.105,1.1045,1.105,0,0,26.046178067977728,11265
1725422400,1.105,1.1055,1.105,1.1055,0,0,24.219481006071888,7092
1725458400,1.1055,1.1059999999999999,1.1055,1.1059999999999999,0,0,22.977868995349134,9364.833333333334
1725458400.001,1.106,1.1065,1.106,1.1065,0,0,22.30841776989137,9364.833333333334
1725458400.002,1.1065,1.107,1.1065,1.107,0,0,22.134583939843118,9364.833333333334
1725458400.003,1.107,1.1075,1.107,1.1075,0,0,22.38800047459528,9364.833333333334
1725458400.004,1.1075,1.1079999999999999,1.1075,1.1079999999999999,0,0,23.00767629712041,9364.833333333334
1725458400.005,1.108,1.1085,1.108,1.1085,0,0,23.939271807827538,9364.833333333334
1725469200,1.108,1.108,1.1075000000000002,1.1075000000000002,0,0,24.102016579898716,7605
