Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
51,Entry long,2025-05-09 10:00:00,[R001L rA:86 hA:62 R:75 V:1.05 B:0.94 M:+ ST:U CH:15 CF:+ MI:78 SK:100 PS:U SQ:0 LC:0.59],193.3,1000,193300,3.99,0.30,4.73,0.36,-0.07,0.00,121.27,12.13
52,Exit long,2025-05-12 08:00:00,[ExitL rA:61 hA:47 R:70 V:1.07 B:0.82 M:+ ST:U CH:8 CF:+ MI:92 SK:85 PS:U SQ:0 LC:0.59],195.5,1000,195550,-0.48,-0.04,0.28,0.02,-0.41,-0.03,120.79,12.08
52,Entry long,2025-05-12 07:00:00,[R001L rA:34 hA:38 R:79 V:1.49 B:0.99 M:+ ST:U CH:5 CF:+ MI:82 SK:100 PS:U SQ:0 LC:0.07],195.55,1000,195550,-0.48,-0.04,0.28,0.02,-0.41,-0.03,120.79,12.08
53,Exit long,2025-05-13 18:00:00,[ExitL rA:47 hA:57 R:71 V:1.63 B:0.82 M:+ ST:U CH:8 CF:+ MI:82 SK:85 PS:U SQ:0 LC:0.21],196.2,1000,195950,1.56,0.12,2.29,0.17,-0.07,0.00,122.35,12.24
53,Entry long,2025-05-13 07:00:00,[R001L rA:46 hA:57 R:70 V:0.87 B:0.88 M:- ST:U CH:37 CF:+ MI:61 SK:100 PS:U SQ:0 LC:0.19],195.95,1000,195950,1.56,0.12,2.29,0.17,-0.07,0.00,122.35,12.24
54,Exit short,2025-05-14 20:00:00,[ExitS rA:48 hA:34 R:28 V:2 B:0.19 M:- ST:D CH:5 CF:- MI:12 SK:15 PS:D SQ:0 LC:-0.44],194.15,1000,194550,2.6,0.20,3,0.23,-0.07,0.00,124.95,12.49
54,Entry short,2025-05-14 14:00:00,[R001S rA:49 hA:32 R:33 V:0.11 B:0.25 M:+ ST:D CH:26 CF:- MI:37 SK:13 PS:D SQ:0 LC:-0.44],194.55,1000,194550,2.6,0.20,3,0.23,-0.07,0.00,124.95,12.49
55,Exit short,2025-05-15 11:00:00,[ExitS rA:47 hA:37 R:36 V:2 B:0.28 M:+ ST:D CH:25 CF:- MI:32 SK:28 PS:D SQ:0 LC:-0.27],193.65,1000,193700,0.21,0.02,1.18,0.09,-0.07,0.00,125.16,12.52
55,Entry short,2025-05-15 08:00:00,[R001S rA:37 hA:33 R:33 V:0.83 B:0.24 M:+ ST:D CH:31 CF:- MI:26 SK:25 PS:D SQ:0 LC:-0.21],193.7,1000,193700,0.21,0.02,1.18,0.09,-0.07,0.00,125.16,12.52
56,Exit long,2025-05-28 18:00:00,[ExitL rA:46 hA:38 R:79 V:1.87 B:0.8 M:+ ST:U CH:5 CF:+ MI:83 SK:85 PS:U SQ:0 LC:0.39],196.05,1000,195400,4.35,0.32,5.11,0.38,-0.07,0.00,129.51,12.95
56,Entry long,2025-05-28 16:00:00,[R001L rA:37 hA:34 R:73 V:0.67 B:0.92 M:+ ST:U CH:19 CF:+ MI:86 SK:100 PS:U SQ:0 LC:0.35],195.4,1000,195400,4.35,0.32,5.11,0.38,-0.07,0.00,129.51,12.95
57,Exit short,2025-05-29 22:00:00,[ExitS rA:42 hA:46 R:22 V:0.89 B:0.19 M:- ST:D CH:5 CF:- MI:7 SK:15 PS:D SQ:0 LC:-0.24],193.8,1000,194250,2.99,0.22,3.75,0.28,-0.07,0.00,132.5,13.25
