Trade #,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
57,Exit short,2023-07-10 07:00:00,Trail,181.44,500,90990,1.84,0.29,2.5,0.39,-0.03,0.00,64.55,6.45
57,Entry short,2023-07-10 04:00:00,Short,181.98,500,90990,1.84,0.29,2.5,0.39,-0.03,0.00,64.55,6.45
58,Exit short,2023-07-12 09:00:00,Trail,179.73,500,90270,2.83,0.44,3.5,0.54,-0.03,0.00,67.37,6.74
58,Entry short,2023-07-11 23:00:00,Short,180.54,500,90270,2.83,0.44,3.5,0.54,-0.03,0.00,67.37,6.74
59,Exit long,2023-07-13 06:00:00,Trail,181.17,500,90405,1.24,0.19,1.92,0.29,-0.03,0.00,68.61,6.86
59,Entry long,2023-07-13 02:00:00,Long,180.81,500,90405,1.24,0.19,1.92,0.29,-0.03,0.00,68.61,6.86
60,Exit long,2023-07-14 07:00:00,Trail,181.8,500,90855,0.27,0.04,1.08,0.16,-0.03,0.00,68.88,6.89
60,Entry long,2023-07-14 05:00:00,Long,181.71,500,90855,0.27,0.04,1.08,0.16,-0.03,0.00,68.88,6.89
61,Exit long,2023-07-17 08:00:00,Trail,181.71,500,90945,-0.71,-0.11,0.27,0.04,-0.68,-0.10,68.17,6.82
61,Entry long,2023-07-17 06:00:00,Long,181.89,500,90945,-0.71,-0.11,0.27,0.04,-0.68,-0.10,68.17,6.82
62,Exit long,2023-07-21 03:00:00,Trail,182.25,500,90630,3.47,0.54,4.15,0.64,-0.03,0.00,71.64,7.16
62,Entry long,2023-07-21 00:00:00,Long,181.26,500,90630,3.47,0.54,4.15,0.64,-0.03,0.00,71.64,7.16
63,Exit short,2023-07-24 09:00:00,Trail,181.17,500,90540,-0.38,-0.06,0.53,0.08,-0.35,-0.05,71.27,7.13
63,Entry short,2023-07-24 05:00:00,Short,181.08,500,90540,-0.38,-0.06,0.53,0.08,-0.35,-0.05,71.27,7.13
64,Exit short,2023-07-27 13:00:00,Trail,178.02,500,90135,7.96,1.24,8.63,1.34,-0.03,0.00,79.23,7.92
64,Entry short,2023-07-27 10:00:00,Short,180.27,500,90135,7.96,1.24,8.63,1.34,-0.03,0.00,79.23,7.92
65,Exit short,2023-07-27 22:00:00,Trail,177.57,500,88740,-0.38,-0.06,0.29,0.05,-0.35,-0.06,78.85,7.88
65,Entry short,2023-07-27 21:00:00,Short,177.48,500,88740,-0.38,-0.06,0.29,0.05,-0.35,-0.06,78.85,7.88
66,Exit long,2023-07-28 02:00:00,Trail,178.65,500,89280,0.26,0.04,0.94,0.15,-0.03,0.00,79.11,7.91
66,Entry long,2023-07-28 00:00:00,Long,178.56,500,89280,0.26,0.04,0.94,0.15,-0.03,0.00,79.11,7.91
