Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
52,Entry short,2025-02-27 05:00:00,[R001S 5A:40 bA:40 R:48 V:0.71 B:0.21 M:- ST:D CH:19 CF:+ MI:49 SK:0 PS:D SQ:0],189.55,1000,189550,2.22,0.17,2.95,0.23,-0.06,0.00,133.03,13.30
53,Exit short,2025-02-27 15:00:00,[ExitS 5A:34 bA:34 R:31 V:0.24 B:0.19 M:- ST:D CH:5 CF:- MI:2 SK:15 PS:D SQ:0],188.85,1000,188950,0.54,0.04,1.27,0.10,-0.06,0.00,133.57,13.36
53,Entry short,2025-02-27 12:00:00,[R001S 5A:26 bA:26 R:28 V:1.39 B:0 M:- ST:D CH:8 CF:- MI:43 SK:0 PS:D SQ:0],188.95,1000,188950,0.54,0.04,1.27,0.10,-0.06,0.00,133.57,13.36
54,Exit short,2025-02-28 11:00:00,[ExitS 5A:42 bA:42 R:29 V:0.74 B:0.2 M:- ST:D CH:5 CF:- MI:7 SK:15 PS:D SQ:0],188.95,1000,189600,4.21,0.33,4.94,0.39,-0.06,0.00,137.78,13.78
54,Entry short,2025-02-28 09:00:00,[R001S 5A:38 bA:38 R:53 V:0.43 B:0.51 M:- ST:D CH:19 CF:+ MI:52 SK:33 PS:D SQ:0],189.6,1000,189600,4.21,0.33,4.94,0.39,-0.06,0.00,137.78,13.78
55,Exit long,2025-03-02 16:00:00,[ExitL 5A:46 bA:46 R:74 V:1.31 B:0.8 M:+ ST:U CH:5 CF:+ MI:84 SK:85 PS:U SQ:0],189.95,1000,189650,1.87,0.15,2.59,0.21,-0.06,0.00,139.65,13.96
55,Entry long,2025-03-02 14:00:00,[R001L 5A:32 bA:32 R:73 V:0.06 B:0.95 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],189.65,1000,189650,1.87,0.15,2.59,0.21,-0.06,0.00,139.65,13.96
56,Exit short,2025-03-03 09:00:00,[ExitS 5A:48 bA:48 R:32 V:3.94 B:0.2 M:- ST:D CH:5 CF:- MI:29 SK:15 PS:D SQ:0],190.9,1000,191550,4.19,0.33,4.91,0.39,-0.06,0.00,143.83,14.38
56,Entry short,2025-03-03 05:00:00,[R001S 5A:79 bA:79 R:65 V:1.29 B:0.52 M:- ST:D CH:19 CF:+ MI:58 SK:33 PS:D SQ:0],191.55,1000,191550,4.19,0.33,4.91,0.39,-0.06,0.00,143.83,14.38
57,Exit short,2025-03-03 13:00:00,[ExitS 5A:71 bA:71 R:19 V:1.7 B:0.2 M:- ST:D CH:5 CF:- MI:18 SK:15 PS:D SQ:0],189.85,1000,190250,2.53,0.20,3.26,0.26,-0.06,0.00,146.36,14.64
57,Entry short,2025-03-03 12:00:00,[R001S 5A:56 bA:56 R:14 V:0.41 B:0.04 M:- ST:D CH:3 CF:- MI:27 SK:0 PS:D SQ:0],190.25,1000,190250,2.53,0.20,3.26,0.26,-0.06,0.00,146.36,14.64
58,Exit short,2025-03-04 08:00:00,[ExitS 5A:53 bA:53 R:23 V:1.4 B:0.2 M:- ST:D CH:5 CF:- MI:11 SK:15 PS:D SQ:0],188.7,1000,188900,1.21,0.10,1.94,0.15,-0.06,0.00,147.57,14.76
58,Entry short,2025-03-04 05:00:00,[R001S 5A:41 bA:41 R:18 V:0.55 B:0.09 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0],188.9,1000,188900,1.21,0.10,1.94,0.15,-0.06,0.00,147.57,14.76
59,Exit long,2025-03-04 12:00:00,[ExitL 5A:79 bA:79 R:84 V:2.34 B:0.8 M:+ ST:U CH:5 CF:+ MI:81 SK:85 PS:U SQ:0],190.8,1000,189850,6.22,0.49,6.96,0.55,-0.06,0.00,153.8,15.38
59,Entry long,2025-03-04 10:00:00,[R001L 5A:48 bA:48 R:85 V:0.36 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],189.85,1000,189850,6.22,0.49,6.96,0.55,-0.06,0.00,153.8,15.38
60,Exit long,2025-03-04 15:00:00,[ExitL 5A:75 bA:75 R:80 V:1.19 B:0.8 M:+ ST:U CH:5 CF:+ MI:88 SK:85 PS:U SQ:0],191.6,1000,190950,4.21,0.33,4.62,0.36,-0.06,0.00,158.01,15.80
60,Entry long,2025-03-04 13:00:00,[R001L 5A:69 bA:69 R:79 V:0.37 B:0.89 M:- ST:U CH:37 CF:+ MI:39 SK:100 PS:U SQ:0],190.95,1000,190950,4.21,0.33,4.62,0.36,-0.06,0.00,158.01,15.80
61,Exit short,2025-03-05 07:00:00,[ExitS 5A:35 bA:35 R:36 V:0.35 B:0.18 M:- ST:D CH:8 CF:- MI:3 SK:15 PS:D SQ:0],191.1,1000,191400,1.87,0.15,2.61,0.20,-0.06,0.00,159.88,15.99
61,Entry short,2025-03-05 05:00:00,[R001S 5A:37 bA:37 R:45 V:0.4 B:0.17 M:- ST:D CH:36 CF:- MI:62 SK:0 PS:D SQ:0],191.4,1000,191400,1.87,0.15,2.61,0.20,-0.06,0.00,159.88,15.99
62,Exit long,2025-03-05 14:00:00,[ExitL 5A:38 bA:38 R:69 V:0.77 B:0.83 M:+ ST:U CH:10 CF:+ MI:85 SK:85 PS:U SQ:0],191.95,1000,191850,0.54,0.04,1.27,0.10,-0.06,0.00,160.43,16.04
62,Entry long,2025-03-05 10:00:00,[R001L 5A:30 bA:30 R:73 V:0.88 B:0.98 M:+ ST:U CH:22 CF:+ MI:63 SK:100 PS:U SQ:0],191.85,1000,191850,0.54,0.04,1.27,0.10,-0.06,0.00,160.43,16.04
63,Exit long,2025-03-06 08:00:00,[ExitL 5A:44 bA:44 R:63 V:1.49 B:0.8 M:+ ST:U CH:5 CF:+ MI:85 SK:85 PS:U SQ:0],190.95,1000,190450,3.23,0.25,3.97,0.31,-0.06,0.00,163.66,16.37
63,Entry long,2025-03-06 07:00:00,[R001L 5A:72 bA:72 R:36 V:0.38 B:0.48 M:+ ST:U CH:19 CF:- MI:27 SK:67 PS:U SQ:0],190.45,1000,190450,3.23,0.25,3.97,0.31,-0.06,0.00,163.66,16.37
64,Exit short,2025-03-07 06:00:00,[ExitS 5A:30 bA:30 R:34 V:0.85 B:0.19 M:- ST:D CH:5 CF:- MI:7 SK:15 PS:D SQ:0],190.1,1000,190500,2.57,0.20,3.31,0.26,-0.06,0.00,166.23,16.62
64,Entry short,2025-03-07 05:00:00,[R001S 5A:27 bA:27 R:48 V:0.59 B:0.47 M:+ ST:D CH:33 CF:+ MI:58 SK:25 PS:D SQ:0],190.5,1000,190500,2.57,0.20,3.31,0.26,-0.06,0.00,166.23,16.62
65,Exit long,2025-03-09 14:00:00,[ExitL 5A:50 bA:50 R:76 V:0.03 B:0.8 M:+ ST:U CH:5 CF:+ MI:100 SK:85 PS:U SQ:0],191.2,1000,190750,2.91,0.23,3.65,0.28,-0.06,0.00,169.14,16.91
65,Entry long,2025-03-07 10:00:00,[R001L 5A:26 bA:26 R:73 V:0.59 B:0.98 M:+ ST:U CH:3 CF:+ MI:93 SK:100 PS:U SQ:0],190.75,1000,190750,2.91,0.23,3.65,0.28,-0.06,0.00,169.14,16.91
66,Exit short,2025-03-10 08:00:00,[ExitS 5A:26 bA:26 R:38 V:0.94 B:0.18 M:- ST:D CH:14 CF:- MI:41 SK:18 PS:D SQ:0],189.7,1000,189650,-0.47,-0.04,0,0.00,-0.4,-0.03,168.67,16.87
66,Entry short,2025-03-10 08:00:00,[R001S 5A:26 bA:26 R:30 V:0.99 B:-0.03 M:- ST:D CH:12 CF:- MI:41 SK:0 PS:D SQ:0],189.65,1000,189650,-0.47,-0.04,0,0.00,-0.4,-0.03,168.67,16.87
67,Exit short,2025-03-11 08:00:00,[ExitS 5A:43 bA:43 R:46 V:1.2 B:0.18 M:- ST:D CH:8 CF:- MI:14 SK:15 PS:D SQ:0],190.7,1000,190950,1.57,0.12,2.31,0.18,-0.06,0.00,170.24,17.02
