Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
114,Entry long,2024-08-07 22:00:00,Long,1.6758,1000,1675.8,-0.59,-0.05,0.47,0.04,-0.49,-0.04,110.16,11.02
115,Exit short,2024-08-09 04:00:00,Close entry(s) order Short,1.656,1000,1663.8,4.95,0.45,5.84,0.53,-0.1,-0.01,115.1,11.51
115,Entry short,2024-08-08 13:00:00,Short,1.6638,1000,1663.8,4.95,0.45,5.84,0.53,-0.1,-0.01,115.1,11.51
116,Exit long,2024-08-14 17:00:00,Close entry(s) order Long,1.6674,1000,1663.8,2.19,0.20,2.69,0.24,-0.1,-0.01,117.29,11.73
116,Entry long,2024-08-14 13:00:00,Long,1.6638,1000,1663.8,2.19,0.20,2.69,0.24,-0.1,-0.01,117.29,11.73
117,Exit short,2024-08-18 23:00:00,Close entry(s) order Short,1.653,1000,1655.4,1.4,0.13,1.88,0.17,-0.1,-0.01,118.69,11.87
117,Entry short,2024-08-16 15:00:00,Short,1.6554,1000,1655.4,1.4,0.13,1.88,0.17,-0.1,-0.01,118.69,11.87
118,Exit long,2024-08-23 04:00:00,Close entry(s) order Long,1.656,1000,1654.8,0.6,0.05,1.86,0.17,-0.1,-0.01,119.3,11.93
118,Entry long,2024-08-22 15:00:00,Long,1.6548,1000,1654.8,0.6,0.05,1.86,0.17,-0.1,-0.01,119.3,11.93
119,Exit short,2024-08-29 18:00:00,Close entry(s) order Short,1.629,1000,1628.4,-0.61,-0.05,0.31,0.03,-0.51,-0.05,118.69,11.87
119,Entry short,2024-08-29 17:00:00,Short,1.6284,1000,1628.4,-0.61,-0.05,0.31,0.03,-0.51,-0.05,118.69,11.87
120,Exit long,2024-09-04 01:00:00,Close entry(s) order Long,1.6506,1000,1641.6,5.84,0.53,6.75,0.61,-0.1,-0.01,124.53,12.45
120,Entry long,2024-09-03 13:00:00,Long,1.6416,1000,1641.6,5.84,0.53,6.75,0.61,-0.1,-0.01,124.53,12.45
121,Exit long,2024-09-05 01:00:00,Close entry(s) order Long,1.6482,1000,1646.4,1.01,0.09,1.92,0.17,-0.1,-0.01,125.54,12.55
121,Entry long,2024-09-04 15:00:00,Long,1.6464,1000,1646.4,1.01,0.09,1.92,0.17,-0.1,-0.01,125.54,12.55
122,Exit long,2024-09-09 01:00:00,Close entry(s) order Long,1.6614,1000,1651.8,6.2,0.56,7.1,0.64,-0.1,-0.01,131.75,13.17
122,Entry long,2024-09-06 14:00:00,Long,1.6518,1000,1651.8,6.2,0.56,7.1,0.64,-0.1,-0.01,131.75,13.17
123,Exit short,2024-09-12 07:00:00,Close entry(s) order Short,1.6482,1000,1655.4,4.61,0.42,5.79,0.52,-0.1,-0.01,136.36,13.64
123,Entry short,2024-09-11 16:00:00,Short,1.6554,1000,1655.4,4.61,0.42,5.79,0.52,-0.1,-0.01,136.36,13.64
124,Exit short,2024-09-13 02:00:00,Close entry(s) order Short,1.6476,1000,1648.2,0.2,0.02,1.1,0.10,-0.1,-0.01,136.56,13.66
124,Entry short,2024-09-12 16:00:00,Short,1.6482,1000,1648.2,0.2,0.02,1.1,0.10,-0.1,-0.01,136.56,13.66
125,Exit short,2024-09-23 17:00:00,Close entry(s) order Short,1.626,1000,1626.6,0.21,0.02,0.72,0.06,-0.1,-0.01,136.77,13.68
125,Entry short,2024-09-23 14:00:00,Short,1.6266,1000,1626.6,0.21,0.02,0.72,0.06,-0.1,-0.01,136.77,13.68
126,Exit short,2024-09-24 14:00:00,Close entry(s) order Short,1.623,1000,1624.2,0.62,0.06,1.54,0.14,-0.1,-0.01,137.39,13.74
126,Entry short,2024-09-24 13:00:00,Short,1.6242,1000,1624.2,0.62,0.06,1.54,0.14,-0.1,-0.01,137.39,13.74
127,Exit long,2024-09-26 00:00:00,Close entry(s) order Long,1.6308,1000,1631.4,-0.61,-0.05,0.31,0.03,-0.51,-0.05,136.78,13.68
127,Entry long,2024-09-25 23:00:00,Long,1.6314,1000,1631.4,-0.61,-0.05,0.31,0.03,-0.51,-0.05,136.78,13.68
128,Exit short,2024-09-27 15:00:00,Close entry(s) order Short,1.614,1000,1617,1.87,0.17,2.8,0.25,-0.1,-0.01,138.65,13.86
128,Entry short,2024-09-27 13:00:00,Short,1.617,1000,1617,1.87,0.17,2.8,0.25,-0.1,-0.01,138.65,13.86
129,Exit short,2024-09-30 18:00:00,Close entry(s) order Short,1.608,1000,1614,3.94,0.35,4.87,0.44,-0.1,-0.01,142.59,14.26
129,Entry short,2024-09-30 13:00:00,Short,1.614,1000,1614,3.94,0.35,4.87,0.44,-0.1,-0.01,142.59,14.26
130,Exit long,2024-10-07 21:00:00,Close entry(s) order Long,1.6248,1000,1618.8,3.86,0.35,4.79,0.44,-0.1,-0.01,146.45,14.64
130,Entry long,2024-10-07 14:00:00,Long,1.6188,1000,1618.8,3.86,0.35,4.79,0.44,-0.1,-0.01,146.45,14.64
131,Exit long,2024-10-09 15:00:00,Close entry(s) order Long,1.6296,1000,1630.2,-0.6,-0.05,0,0.00,-0.5,-0.05,145.84,14.58
131,Entry long,2024-10-09 15:00:00,Long,1.6302,1000,1630.2,-0.6,-0.05,0,0.00,-0.5,-0.05,145.84,14.58
132,Exit long,2024-10-16 01:00:00,Close entry(s) order Long,1.6284,1000,1629,-0.6,-0.05,0,0.00,-0.5,-0.05,145.24,14.52
132,Entry long,2024-10-16 01:00:00,Long,1.629,1000,1629,-0.6,-0.05,0,0.00,-0.5,-0.05,145.24,14.52
133,Exit short,2024-10-18 02:00:00,Close entry(s) order Short,1.6164,1000,1620.6,2.62,0.24,3.1,0.29,-0.1,-0.01,147.86,14.79
133,Entry short,2024-10-17 13:00:00,Short,1.6206,1000,1620.6,2.62,0.24,3.1,0.29,-0.1,-0.01,147.86,14.79
