Trade #,Type,Date and time,Signal,Price AUD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
389,Exit short,2025-05-06 07:00:00,SL,1.7544,1000,1750.8,-2.43,-0.21,0.35,0.03,-2.38,-0.21,236.26,23.63
389,Entry short,2025-05-05 23:00:00,Short,1.7508,1000,1750.8,-2.43,-0.21,0.35,0.03,-2.38,-0.21,236.26,23.63
390,Exit long,2025-05-06 14:00:00,SL,1.7514,1000,1755,-2.43,-0.21,0.34,0.03,-2.38,-0.21,233.82,23.38
390,Entry long,2025-05-06 07:00:00,Long,1.755,1000,1755,-2.43,-0.21,0.34,0.03,-2.38,-0.21,233.82,23.38
391,Exit short,2025-05-06 22:00:00,TP,1.7454,1000,1749,2.23,0.20,2.29,0.20,-0.05,0.00,236.06,23.61
391,Entry short,2025-05-06 22:00:00,Short,1.749,1000,1749,2.23,0.20,2.29,0.20,-0.05,0.00,236.06,23.61
392,Exit long,2025-05-07 09:00:00,TP,1.755,1000,1751.4,2.23,0.20,2.29,0.20,-0.05,0.00,238.29,23.83
392,Entry long,2025-05-07 05:00:00,Long,1.7514,1000,1751.4,2.23,0.20,2.29,0.20,-0.05,0.00,238.29,23.83
393,Exit long,2025-05-08 15:00:00,SL,1.7562,1000,1759.8,-2.42,-0.21,0.53,0.05,-2.37,-0.21,235.87,23.59
393,Entry long,2025-05-08 06:00:00,Long,1.7598,1000,1759.8,-2.42,-0.21,0.53,0.05,-2.37,-0.21,235.87,23.59
394,Exit short,2025-05-08 23:00:00,SL,1.755,1000,1751.4,-2.41,-0.21,0,0.00,-2.36,-0.21,233.47,23.35
394,Entry short,2025-05-08 16:00:00,Short,1.7514,1000,1751.4,-2.41,-0.21,0,0.00,-2.36,-0.21,233.47,23.35
395,Exit short,2025-05-11 21:00:00,TP,1.7466,1000,1750.2,2.2,0.20,2.26,0.20,-0.05,0.00,235.67,23.57
395,Entry short,2025-05-11 21:00:00,Short,1.7502,1000,1750.2,2.2,0.20,2.26,0.20,-0.05,0.00,235.67,23.57
396,Exit long,2025-05-13 03:00:00,SL,1.7382,1000,1741.8,-2.4,-0.22,1.48,0.13,-2.35,-0.21,233.27,23.33
396,Entry long,2025-05-12 14:00:00,Long,1.7418,1000,1741.8,-2.4,-0.22,1.48,0.13,-2.35,-0.21,233.27,23.33
397,Exit short,2025-05-13 06:00:00,TP,1.7328,1000,1736.4,2.19,0.20,2.24,0.20,-0.05,0.00,235.47,23.55
397,Entry short,2025-05-13 04:00:00,Short,1.7364,1000,1736.4,2.19,0.20,2.24,0.20,-0.05,0.00,235.47,23.55
398,Exit short,2025-05-14 09:00:00,SL,1.7322,1000,1728.6,-2.43,-0.22,1.89,0.17,-2.38,-0.21,233.04,23.30
398,Entry short,2025-05-13 14:00:00,Short,1.7286,1000,1728.6,-2.43,-0.22,1.89,0.17,-2.38,-0.21,233.04,23.30
399,Exit long,2025-05-14 15:00:00,TP,1.7376,1000,1734,2.23,0.20,2.28,0.20,-0.44,-0.04,235.26,23.53
399,Entry long,2025-05-14 09:00:00,Long,1.734,1000,1734,2.23,0.20,2.28,0.20,-0.44,-0.04,235.26,23.53
