Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
19,Entry long,2025-05-07 11:00:00,Long,41220,1,20610,5.6,0.03,21.55,0.10,-0.95,0.00,1936.4,19.36
20,Exit short,2025-05-08 11:00:00,Close entry(s) order Short,41685,1,20872.5,28.1,0.13,44.05,0.21,-0.95,0.00,1964.5,19.65
20,Entry short,2025-05-08 10:00:00,Short,41745,1,20872.5,28.1,0.13,44.05,0.21,-0.95,0.00,1964.5,19.65
21,Exit long,2025-05-09 00:00:00,Close entry(s) order Long,41460,1,20737.5,-9.4,-0.05,0,0.00,-8.45,-0.04,1955.1,19.55
21,Entry long,2025-05-08 23:00:00,Long,41475,1,20737.5,-9.4,-0.05,0,0.00,-8.45,-0.04,1955.1,19.55
22,Exit long,2025-05-12 13:00:00,Session End,42495,1,21150,95.6,0.45,96.55,0.46,-0.95,0.00,2050.7,20.51
22,Entry long,2025-05-12 09:00:00,Long,42300,1,21150,95.6,0.45,96.55,0.46,-0.95,0.00,2050.7,20.51
23,Exit long,2025-05-15 11:00:00,Close entry(s) order Long,42300,1,20977.5,170.6,0.81,179.05,0.85,-0.95,0.00,2221.3,22.21
23,Entry long,2025-05-15 02:00:00,Long,41955,1,20977.5,170.6,0.81,179.05,0.85,-0.95,0.00,2221.3,22.21
24,Exit long,2025-05-16 13:00:00,Close entry(s) order Long,42705,1,21240,110.6,0.52,126.55,0.60,-0.95,0.00,2331.9,23.32
24,Entry long,2025-05-16 09:00:00,Long,42480,1,21240,110.6,0.52,126.55,0.60,-0.95,0.00,2331.9,23.32
25,Exit long,2025-05-19 16:00:00,Session End,42885,1,21232.5,208.1,0.98,209.05,0.98,-0.95,0.00,2540,25.40
25,Entry long,2025-05-19 04:00:00,Long,42465,1,21232.5,208.1,0.98,209.05,0.98,-0.95,0.00,2540,25.40
26,Exit short,2025-05-20 11:00:00,Close entry(s) order Short,42765,1,21412.5,28.1,0.13,36.55,0.17,-0.95,0.00,2568.1,25.68
26,Entry short,2025-05-20 06:00:00,Short,42825,1,21412.5,28.1,0.13,36.55,0.17,-0.95,0.00,2568.1,25.68
27,Exit long,2025-05-23 02:00:00,Close entry(s) order Long,41940,1,20977.5,-9.4,-0.04,0,0.00,-8.45,-0.04,2558.7,25.59
27,Entry long,2025-05-23 02:00:00,Long,41955,1,20977.5,-9.4,-0.04,0,0.00,-8.45,-0.04,2558.7,25.59
28,Exit short,2025-05-23 06:00:00,Close entry(s) order Short,41415,1,20962.5,253.1,1.21,269.05,1.28,-0.95,0.00,2811.8,28.12
28,Entry short,2025-05-23 02:00:00,Short,41925,1,20962.5,253.1,1.21,269.05,1.28,-0.95,0.00,2811.8,28.12
29,Exit short,2025-05-25 15:00:00,Close entry(s) order Short,41715,1,20850,-9.4,-0.05,13.05,0.06,-8.45,-0.04,2802.4,28.02
29,Entry short,2025-05-25 15:00:00,Short,41700,1,20850,-9.4,-0.05,13.05,0.06,-8.45,-0.04,2802.4,28.02
30,Exit long,2025-05-26 15:00:00,Close entry(s) order Long,42105,1,21045,5.6,0.03,21.55,0.10,-0.95,0.00,2808,28.08
30,Entry long,2025-05-26 08:00:00,Long,42090,1,21045,5.6,0.03,21.55,0.10,-0.95,0.00,2808,28.08
31,Exit long,2025-05-27 13:00:00,Session End,42435,1,21067.5,148.1,0.70,149.05,0.71,-0.95,0.00,2956.1,29.56
31,Entry long,2025-05-27 07:00:00,Long,42135,1,21067.5,148.1,0.70,149.05,0.71,-0.95,0.00,2956.1,29.56
32,Exit long,2025-05-29 15:00:00,Close entry(s) order Long,42240,1,21030,88.1,0.42,104.05,0.49,-0.95,0.00,3044.2,30.44
32,Entry long,2025-05-29 09:00:00,Long,42060,1,21030,88.1,0.42,104.05,0.49,-0.95,0.00,3044.2,30.44
33,Exit long,2025-05-30 09:00:00,Close entry(s) order Long,42195,1,21105,-9.4,-0.04,6.55,0.03,-8.45,-0.04,3034.8,30.35
33,Entry long,2025-05-30 07:00:00,Long,42210,1,21105,-9.4,-0.04,6.55,0.03,-8.45,-0.04,3034.8,30.35
34,Exit short,2025-06-02 07:00:00,Close entry(s) order Short,42075,1,21060,20.6,0.10,36.55,0.17,-0.95,0.00,3055.4,30.55
