Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
75,Exit short,2024-08-19 05:00:00,[ExitS rA:59 hA:37 PS:D CD:30],1.6518,1000,1651.2,-0.6,-0.05,0.65,0.06,-0.5,-0.05,103.28,10.33
75,Entry short,2024-08-19 01:00:00,[R001S rA:44 hA:30 PS:D CD:30],1.6512,1000,1651.2,-0.6,-0.05,0.65,0.06,-0.5,-0.05,103.28,10.33
76,Exit short,2024-08-29 12:00:00,[ExitS rA:44 hA:27 PS:D CD:30],1.6278,1000,1635.6,5.09,0.46,6.01,0.54,-0.1,-0.01,108.37,10.84
76,Entry short,2024-08-29 06:00:00,[R001S rA:43 hA:27 PS:D CD:30],1.6356,1000,1635.6,5.09,0.46,6.01,0.54,-0.1,-0.01,108.37,10.84
77,Exit long,2024-09-04 01:00:00,[ExitL rA:52 hA:27 PS:U CD:30],1.6506,1000,1641.6,5.84,0.53,6.75,0.61,-0.1,-0.01,114.21,11.42
77,Entry long,2024-09-03 13:00:00,[R001L rA:50 hA:26 PS:U CD:30],1.6416,1000,1641.6,5.84,0.53,6.75,0.61,-0.1,-0.01,114.21,11.42
78,Exit short,2024-09-04 14:00:00,[ExitS rA:66 hA:48 PS:D CD:30],1.644,1000,1643.4,-0.6,-0.05,0.3,0.03,-0.5,-0.05,113.61,11.36
78,Entry short,2024-09-04 13:00:00,[R001S rA:42 hA:37 PS:D CD:30],1.6434,1000,1643.4,-0.6,-0.05,0.3,0.03,-0.5,-0.05,113.61,11.36
79,Exit long,2024-09-09 01:00:00,[ExitL rA:68 hA:37 PS:U CD:30],1.6614,1000,1658.4,1.8,0.16,2.7,0.24,-0.1,-0.01,115.41,11.54
79,Entry long,2024-09-06 15:00:00,[R001L rA:41 hA:27 PS:U CD:30],1.6584,1000,1658.4,1.8,0.16,2.7,0.24,-0.1,-0.01,115.41,11.54
80,Exit short,2024-09-09 15:00:00,[ExitS rA:39 hA:32 PS:U CD:30],1.659,1000,1659,-0.2,-0.02,0,0.00,-0.5,-0.05,115.22,11.52
80,Entry short,2024-09-09 08:00:00,[R002S rA:39 hA:69 PS:D CD:30],1.659,1000,1659,-0.2,-0.02,0,0.00,-0.5,-0.05,115.22,11.52
81,Exit long,2024-09-12 12:00:00,[ExitL rA:58 hA:42 PS:U CD:30],1.65,1000,1650,-0.2,-0.02,0.3,0.03,-0.5,-0.05,115.02,11.50
81,Entry long,2024-09-12 08:00:00,[R001L rA:42 hA:36 PS:U CD:30],1.65,1000,1650,-0.2,-0.02,0.3,0.03,-0.5,-0.05,115.02,11.50
82,Exit long,2024-09-20 02:00:00,[ExitL rA:40 hA:25 PS:U CD:30],1.6386,1000,1637.4,0.62,0.06,1.54,0.14,-0.1,-0.01,115.63,11.56
82,Entry long,2024-09-19 21:00:00,[R001L rA:43 hA:25 PS:U CD:30],1.6374,1000,1637.4,0.62,0.06,1.54,0.14,-0.1,-0.01,115.63,11.56
83,Exit short,2024-09-23 17:00:00,[ExitS rA:38 hA:41 PS:D CD:30],1.626,1000,1628.4,1.43,0.13,1.94,0.18,-0.1,-0.01,117.07,11.71
