Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
57,Entry long,2025-09-05 09:00:00,Long,45405,1,22702.5,5.6,0.02,21.55,0.09,-0.95,0.00,3011.7,30.12
58,Exit long,2025-09-08 10:00:00,Close entry(s) order Long,45465,1,22732.5,-1.9,-0.01,15.55,0.07,-0.95,0.00,3009.8,30.10
58,Entry long,2025-09-08 07:00:00,Long,45465,1,22732.5,-1.9,-0.01,15.55,0.07,-0.95,0.00,3009.8,30.10
59,Exit short,2025-09-12 07:00:00,Close entry(s) order Short,46050,1,23025,-1.9,-0.01,0,0.00,-8.45,-0.04,3007.9,30.08
59,Entry short,2025-09-12 06:00:00,Short,46050,1,23025,-1.9,-0.01,0,0.00,-8.45,-0.04,3007.9,30.08
60,Exit short,2025-09-17 10:00:00,Close entry(s) order Short,46350,1,23175,-1.9,-0.01,14.05,0.06,-0.95,0.00,3006,30.06
60,Entry short,2025-09-17 09:00:00,Short,46350,1,23175,-1.9,-0.01,14.05,0.06,-0.95,0.00,3006,30.06
61,Exit short,2025-09-18 07:00:00,Close entry(s) order Short,46470,1,23287.5,50.6,0.22,66.55,0.29,-0.95,0.00,3056.6,30.57
61,Entry short,2025-09-18 05:00:00,Short,46575,1,23287.5,50.6,0.22,66.55,0.29,-0.95,0.00,3056.6,30.57
62,Exit long,2025-09-19 07:00:00,Close entry(s) order Long,46530,1,23272.5,-9.4,-0.04,6.55,0.03,-8.45,-0.04,3047.2,30.47
62,Entry long,2025-09-19 05:00:00,Long,46545,1,23272.5,-9.4,-0.04,6.55,0.03,-8.45,-0.04,3047.2,30.47
63,Exit long,2025-09-22 23:00:00,Close entry(s) order Long,46725,1,23272.5,88.1,0.38,96.55,0.41,-0.95,0.00,3135.3,31.35
